TrH2_hyp_clust10124.t1		DDE_Tnp_4/
TrH2_TrispH2_005244-RA	cytochrome_p450_oxidoreductase	Flavodoxin_1/FAD_binding_1/NAD_binding_1/
TrH2_TrispH2_005245-RA	translocase_of_inner_mitochondrial_membrane_10	zf-Tim10_DDP/
TrH2_TrispH2_005246-RA	RAD1_checkpoint_DNA_exonuclease	Rad1/
TrH2_TrispH2_005247-RA	ferric_chelate_reductase_1_like	DOMON/
TrH2_TrispH2_005248-RA	novel_readthrough_SHPK_TRPV1_protein	FGGY_N/
TrH2_TrispH2_005249-RA	sarcalumenin	Dynamin_N/
TrH2_TrispH2_005250-RA	eukaryotic_translation_initiation_factor_4H	RRM_1/
TrH2_TrispH2_005251-RA	KIAA0100	DUF2405/Fmp27_GFWDK/Apt1/
TrH2_TrispH2_005252-RA	mediator_complex_subunit_31	Med31/
TrH2_TrispH2_005253-RA	ubiquitin_conjugating_enzyme_E2_L3	UQ_con/
TrH2_TrispH2_005254-RA	trace_amine_associated_receptor_1	7tm_1/
TrH2_TrispH2_005255-RA	nipsnap_homolog_2	NIPSNAP/NIPSNAP/
TrH2_TrispH2_005256-RA	RAN_binding_protein_1	Ran_BP1/
TrH2_TrispH2_005257-RA	TBCC_domain_containing_1	TBCC/
TrH2_TrispH2_005258-RA	leucine_rich_repeats_and_immunoglobulin_like_domains_3	LRR_8/
TrH2_TrispH2_005259-RA		
TrH2_TrispH2_005260-RA	integrator_complex_subunit_2	INTS2/
TrH2_TrispH2_005262-RA		
TrH2_TrispH2_005263-RA	adenosine_A1_receptor	7tm_1/
TrH2_TrispH2_005264-RA		
TrH2_TrispH2_005265-RA	dCTP_pyrophosphatase_1	MazG-like/
TrH2_TrispH2_005266-RA	coiled_coil_domain_containing_42	DUF4200/
TrH2_TrispH2_005267-RA	clathrin_heavy_chain_like_1	Clathrin_H_link/Clathrin/
TrH2_TrispH2_005268-RA	ADAM_metallopeptidase_domain_10	Pep_M12B_propep/Reprolysin_5/
TrH2_TrispH2_005269-RA	solute_carrier_family_29_member_2	Nucleoside_tran/
TrH2_TrispH2_005270-RA	tachykinin_receptor_3	7tm_1/
TrH2_TrispH2_005271-RA	RecQ_like_helicase	DEAD/Helicase_C/RecQ_Zn_bind/
TrH2_TrispH2_005272-RA	SCY1_like_pseudokinase_2	Pkinase/
TrH2_TrispH2_005273-RA		SPT2/
TrH2_TrispH2_005274-RA		rRNA_processing/
TrH2_TrispH2_005275-RA	glycogen_synthase_1	Glycogen_syn/
TrH2_TrispH2_005276-RA		
TrH2_TrispH2_005277-RA		
TrH2_TrispH2_005278-RA	melanin_concentrating_hormone_receptor_1	7tm_1/
TrH2_TrispH2_005279-RA	developing_brain_homeobox_1	Homeodomain/
TrH2_TrispH2_005280-RA	vesicle_associated_membrane_protein_1	Synaptobrevin/
TrH2_TrispH2_005281-RA	ribosomal_RNA_processing_15_homolog	Rrp15p/
TrH2_TrispH2_005282-RA	eukaryotic_translation_initiation_factor_4_gamma_2	MIF4G/W2/
TrH2_TrispH2_005283-RA	DCC_netrin_1_receptor	Ig_2/Ig_3/Ig_3/fn3/fn3/
TrH2_TrispH2_005284-RA	glucosaminyl_N_acetyl_transferase_3_mucin_type	Branch/
TrH2_TrispH2_005285-RA	calcium_homeostasis_endoplasmic_reticulum_protein	Surp/CID/G-patch/
TrH2_TrispH2_005286-RA	deleted_in_malignant_brain_tumors_1	SRCR/SRCR/EGF/SRCR/EGF/SRCR/EGF/SRCR/SRCR/SRCR/SRCR/EGF/SRCR/SRCR/SRCR/SRCR/SRCR/SRCR/Ig_3/EGF_3/EGF_CA/SEA/
TrH2_TrispH2_005287-RA	protein_tyrosine_phosphatase_receptor_type_S	fn3/fn3/
TrH2_TrispH2_005288-RA	BOC_cell_adhesion_associated_oncogene_regulated	Ig_3/
TrH2_TrispH2_005289-RA	protein_tyrosine_phosphatase_receptor_type_D	I-set/fn3/fn3/fn3/fn3/fn3/fn3/fn3/Y_phosphatase/Y_phosphatase/
TrH2_TrispH2_005290-RA	novel_lipoprotein_amino_terminal_region_containing_protein	Vitellogenin_N/DUF1943/DUF1081/VWD/C8/
TrH2_TrispH2_005291-RA	peptidylprolyl_isomerase_domain_and_WD_repeat_containing_1	WD40/Pro_isomerase/
TrH2_TrispH2_005292-RA	terminal_uridylyl_transferase_4	TUTase/PAP_assoc/TUTase/PAP_assoc/zf-CCHC/
TrH2_TrispH2_005293-RA		
TrH2_TrispH2_005294-RA	tRNA_methyltransferase_13_homolog	zf-TRM13_CCCH/zf-U11-48K/TRM13/
TrH2_TrispH2_005295-RA	leucine_rich_repeat_containing_40	LRR_8/LRR_8/LRR_8/LRR_8/LRR_8/
TrH2_TrispH2_005296-RA		
TrH2_TrispH2_005297-RA	tetratricopeptide_repeat_domain_4	Wheel/
TrH2_TrispH2_005298-RA	RNA_exonuclease_1_homolog	EloA-BP1/
TrH2_TrispH2_005299-RA	pentatricopeptide_repeat_domain_3	
TrH2_TrispH2_005300-RA	pseudouridine_synthase_1	PseudoU_synth_1/
TrH2_TrispH2_005301-RA	cytochrome_P450_family_4_subfamily_F_member_12	p450/
TrH2_TrispH2_005302-RA	cytochrome_P450_family_4_subfamily_A_member_11	p450/
TrH2_TrispH2_005303-RA	cytochrome_P450_family_4_subfamily_F_member_22	p450/
TrH2_TrispH2_005304-RA	sidekick_cell_adhesion_molecule_2	fn3/fn3/fn3/fn3/fn3/fn3/fn3/fn3/fn3/Y_phosphatase/Y_phosphatase/
TrH2_TrispH2_005305-RA	dystrophin	WW/EF-hand_2/EF-hand_3/ZZ/
TrH2_TrispH2_005306-RA	midasin_AAA_ATPase_1	AAA_5/AAA_lid_7/AAA_5/AAA_5/AAA_lid_5/AAA_5/AAA_lid_7/AAA_5/AAA_5/AAA_lid_7/AAA_5/
TrH2_TrispH2_005307-RA	phosphatidylinositol_glycan_anchor_biosynthesis_class_G	Phosphodiest/
TrH2_TrispH2_005308-RA	target_of_EGR1_exonuclease	CAF1/CAF1/
TrH2_TrispH2_005309-RA	nuclear_autoantigenic_sperm_protein	SHNi-TPR/TPR_8/
TrH2_TrispH2_005310-RA		Patatin/
TrH2_TrispH2_005311-RA	multiple_PDZ_domain_crumbs_cell_polarity_complex_component	PDZ/PDZ/PDZ/PDZ/PDZ/PDZ/PDZ/PDZ/PDZ/PDZ/PDZ/PDZ/
TrH2_TrispH2_005312-RA	deleted_in_malignant_brain_tumors_1	hEGF/hEGF/hEGF/EGF/SRCR/SRCR/EGF/SRCR/EGF/hEGF/EGF/SRCR/EGF/NIDO/EGF_CA/EGF_3/cEGF/EGF_CA/EGF_CA/EGF_CA/EGF_3/EGF_3/EGF_CA/EGF_CA/EGF_CA/SEA/EGF_CA/EGF_CA/
TrH2_TrispH2_005313-RA	store_operated_calcium_entry_associated_regulatory_factor	SARAF/
TrH2_TrispH2_005314-RA	3_oxoacid_CoA_transferase_1	CoA_trans/CoA_trans/
TrH2_TrispH2_005315-RA	prostaglandin_E_receptor_4	7tm_1/
TrH2_TrispH2_005316-RA	basic_transcription_factor_3_like_4	NAC/
TrH2_TrispH2_005317-RA	phosphatidylinositol_glycan_anchor_biosynthesis_class_W	GWT1/
TrH2_TrispH2_005318-RA	novel_protein	HhH-GPD/HHH/EndIII_4Fe-2S/NUDIX_4/
TrH2_TrispH2_005319-RA	required_for_excision_1_B_domain_containing	DNA_repr_REX1B/
TrH2_TrispH2_005320-RA		
TrH2_TrispH2_005321-RA		
TrH2_TrispH2_005322-RA		
TrH2_TrispH2_005323-RA	KRI1_homolog	Kri1/Kri1_C/
TrH2_TrispH2_005324-RA	transient_receptor_potential_cation_channel_subfamily_M_member_2	LSDAT_euk/Ion_trans/
TrH2_TrispH2_005325-RA	transient_receptor_potential_cation_channel_subfamily_M_member_3	LSDAT_euk/Ion_trans/
TrH2_TrispH2_005326-RA	transient_receptor_potential_cation_channel_subfamily_M_member_5	
TrH2_TrispH2_005327-RA	solute_carrier_family_18_member_B1	MFS_1/
TrH2_TrispH2_005328-RA	solute_carrier_family_6_member_18	SNF/
TrH2_TrispH2_005329-RA	KIAA0513	
TrH2_TrispH2_005330-RA	transmembrane_protein_143	DUF3754/
TrH2_TrispH2_005331-RA	dynein_light_chain_roadblock_type_2	Robl_LC7/
TrH2_TrispH2_005332-RA	dynein_light_chain_roadblock_type_2	Robl_LC7/
TrH2_TrispH2_005333-RA	anillin_actin_binding_protein	Anillin/PH/
TrH2_TrispH2_005334-RA	RPGRIP1_like	C2-C2_1/C2-C2_1/RPGR1_C/
TrH2_TrispH2_005335-RA	carbonic_anhydrase_8	Carb_anhydrase/
TrH2_TrispH2_005336-RA		
TrH2_TrispH2_005337-RA	iroquois_homeobox_6	Homeobox_KN/
TrH2_TrispH2_005338-RA	lon_peptidase_2_peroxisomal	LON_substr_bdg/AAA/Lon_C/
TrH2_TrispH2_005339-RA	phosphatidylinositol_4_5_bisphosphate_4_phosphatase_2	Tmemb_55A/
TrH2_TrispH2_005340-RA	apoptotic_chromatin_condensation_inducer_1	SAP/RRM_1/RSB_motif/
TrH2_TrispH2_005341-RA	VPS9_domain_containing_1	VPS9/
TrH2_TrispH2_005342-RA	derlin_1	DER1/
TrH2_TrispH2_005344-RA		COR/
TrH2_TrispH2_005345-RA	CYLD_lysine_63_deubiquitinase	
TrH2_TrispH2_005346-RA	apolipoprotein_B	Vitellogenin_N/DUF1943/
TrH2_TrispH2_005347-RA		
TrH2_TrispH2_005348-RA	adrenoceptor_beta_2	7tm_1/
TrH2_TrispH2_005349-RA	exosome_component_7	RNase_PH/RNase_PH_C/
TrH2_TrispH2_005350-RA	ring_finger_protein_166	zf-C3HC4/
TrH2_TrispH2_005351-RA	terminal_nucleotidyltransferase_4B	NTP_transf_2/PAP_assoc/
TrH2_TrispH2_005352-RA	FA_core_complex_associated_protein_24	PND/HHH_2/
TrH2_TrispH2_005353-RA		
TrH2_TrispH2_005354-RA	glutathione_peroxidase_1	GSHPx/
TrH2_TrispH2_005355-RA	carboxypeptidase_D	Peptidase_M14/CarboxypepD_reg/
TrH2_TrispH2_005356-RA	protein_phosphatase_3_regulatory_subunit_B_beta	EF-hand_7/EF-hand_7/
TrH2_TrispH2_005357-RA	calbindin_2	EF-hand_7/EF-hand_5/EF-hand_7/
TrH2_TrispH2_005358-RA	ankyrin_repeat_domain_52	Ank_4/Ank_2/
TrH2_TrispH2_005359-RA	ankyrin_repeat_domain_44	Ank_2/
TrH2_TrispH2_005360-RA	fem_1_homolog_B	Ank_2/Ank/
TrH2_TrispH2_005361-RA	NADH_ubiquinone_oxidoreductase_core_subunit_V2	2Fe-2S_thioredx/
TrH2_TrispH2_005362-RA	URI1_prefoldin_like_chaperone	Prefoldin/
TrH2_TrispH2_005363-RA	mitochondrial_ribosomal_protein_L3	Ribosomal_L3/
TrH2_TrispH2_005364-RA	kinesin_family_member_13B	EF-hand_7/CAP_GLY/
TrH2_TrispH2_005365-RA	monoamine_oxidase_A	NAD_binding_8/
TrH2_TrispH2_005366-RA	WW_domain_containing_E3_ubiquitin_protein_ligase_1	C2/WW/WW/WW/WW/HECT/
TrH2_TrispH2_005367-RA	15_hydroxyprostaglandin_dehydrogenase	adh_short/
TrH2_TrispH2_005368-RA	PRELI_domain_containing_3B	PRELI/
TrH2_TrispH2_005369-RA	TPX2_microtubule_nucleation_factor	TPX2_importin/TPX2/
TrH2_TrispH2_005370-RA		PQQ/
TrH2_TrispH2_005371-RA	tankyrase	Ank_2/
TrH2_TrispH2_005372-RA	15_hydroxyprostaglandin_dehydrogenase	adh_short/
TrH2_TrispH2_005373-RA	15_hydroxyprostaglandin_dehydrogenase	adh_short/
TrH2_TrispH2_005374-RA		
TrH2_TrispH2_005375-RA	protein_phosphatase_4_regulatory_subunit_1	HEAT/
TrH2_TrispH2_005376-RA	ATPase_phospholipid_transporting_9B_putative	PhoLip_ATPase_N/E1-E2_ATPase/Cation_ATPase/PhoLip_ATPase_C/
TrH2_TrispH2_005377-RA	GINS_complex_subunit_3	Sld5/
TrH2_TrispH2_005378-RA	defender_against_cell_death_1	DAD/
TrH2_TrispH2_005379-RA	autocrine_motility_factor_receptor	zf-RING_2/CUE/
TrH2_TrispH2_005380-RA	cytokine_induced_apoptosis_inhibitor_1	CIAPIN1/CIAPIN1/
TrH2_TrispH2_005381-RA	triple_QxxK_R_motif_containing	TRIQK/
TrH2_TrispH2_005382-RA		E1_DerP2_DerF2/
TrH2_TrispH2_005383-RA	DEAH_box_helicase_38	DEAD/Helicase_C/HA2/OB_NTP_bind/
TrH2_TrispH2_005384-RA		
TrH2_TrispH2_005385-RA		DUF4502/
TrH2_TrispH2_005386-RA		
TrH2_TrispH2_005387-RA		
TrH2_TrispH2_005388-RA		WD40/WD40/WD40/WD40/WD40/WD40/WD40/
TrH2_TrispH2_005389-RA		zf-C3HC4/
TrH2_TrispH2_005390-RA	filamin_B	CH/CH/
TrH2_TrispH2_005391-RA	DExD_box_helicase_21	DEAD/Helicase_C/
TrH2_TrispH2_005392-RA		DUF4440/
TrH2_TrispH2_005393-RA		
TrH2_TrispH2_005394-RA		DUF4440/
TrH2_TrispH2_005395-RA	solute_carrier_family_33_member_1	Acatn/Acatn/
TrH2_TrispH2_005396-RA	zinc_finger_MYND_type_containing_12	zf-MYND/
TrH2_TrispH2_005397-RA	phosphatidylinositol_specific_phospholipase_C_X_domain_containing_3	
TrH2_TrispH2_005398-RA		7tm_1/
TrH2_TrispH2_005399-RA		
TrH2_TrispH2_005400-RA	WD_repeat_containing_antisense_to_TP73	WD40/
TrH2_TrispH2_005401-RA	5_3_exoribonuclease_1	XRN_N/XRN_M/XRN1_D1/SH3_12/
TrH2_TrispH2_005402-RA	NECAP_endocytosis_associated_1	DUF1681/
TrH2_TrispH2_005403-RA	DNA_primase_subunit_1	DNA_primase_S/
TrH2_TrispH2_005404-RA	calcium_calmodulin_dependent_protein_kinase_I	Pkinase/
TrH2_TrispH2_005405-RA	N_alpha_acetyltransferase_38_NatC_auxiliary_subunit	LSM/
TrH2_TrispH2_005406-RA	WD_repeat_domain_33	WD40/WD40/WD40/WD40/WD40/WD40/
TrH2_TrispH2_005407-RA	large_60S_subunit_nuclear_export_GTPase_1	
TrH2_TrispH2_005408-RA	ubiquitination_factor_E4B	
TrH2_TrispH2_005409-RA	dystrobrevin_beta	EF-hand_2/EF-hand_3/ZZ/
TrH2_TrispH2_005410-RA	isoprenylcysteine_carboxyl_methyltransferase	ICMT/
TrH2_TrispH2_005411-RA	transmembrane_protein_107	TMEM107/
TrH2_TrispH2_005412-RA	ATP_binding_cassette_subfamily_G_member_1	ABC_tran/ABC2_membrane/
TrH2_TrispH2_005413-RA	polyhomeotic_homolog_1	SAM_1/
TrH2_TrispH2_005414-RA	UDP_glucose_6_dehydrogenase	UDPG_MGDP_dh_N/UDPG_MGDP_dh/UDPG_MGDP_dh_C/
TrH2_TrispH2_005415-RA		
TrH2_TrispH2_005416-RA	COPI_coat_complex_subunit_beta_2	WD40/WD40/WD40/WD40/Coatomer_WDAD/
TrH2_TrispH2_005417-RA	SMG8_nonsense_mediated_mRNA_decay_factor	Smg8_Smg9/
TrH2_TrispH2_005418-RA	kelch_like_family_member_17	BTB/BACK/Kelch_1/Kelch_1/Kelch_1/Kelch_1/Kelch_1/
TrH2_TrispH2_005419-RA	prohibitin_2	Band_7/
TrH2_TrispH2_005420-RA	CENPS_CORT_readthrough	CENP-S/
TrH2_TrispH2_005421-RA	solute_carrier_family_35_member_E2B	TPT/
TrH2_TrispH2_005422-RA		
TrH2_TrispH2_005423-RA	armadillo_repeat_containing_3	Arm/Arm/EDR1/
TrH2_TrispH2_005424-RA		BPL_N/
TrH2_TrispH2_005425-RA		CD20/
TrH2_TrispH2_005426-RA		
TrH2_TrispH2_005427-RA		
TrH2_TrispH2_005428-RA		CD20/
TrH2_TrispH2_005429-RA		
TrH2_TrispH2_005430-RA		
TrH2_TrispH2_005431-RA	cytidine_deaminase	dCMP_cyt_deam_1/
TrH2_TrispH2_005432-RA	mitofusin_2	Dynamin_N/Fzo_mitofusin/
TrH2_TrispH2_005433-RA	peroxisomal_biogenesis_factor_5	TPR_7/TPR_16/
TrH2_TrispH2_005434-RA		
TrH2_TrispH2_005435-RA		
TrH2_TrispH2_005436-RA		
TrH2_TrispH2_005437-RA		Acyl-ACP_TE/
TrH2_TrispH2_005438-RA	glutathione_S_transferase_theta_1	GST_N_3/GST_C/
TrH2_TrispH2_005439-RA	F_box_protein_42	F-box-like/Kelch_6/Kelch_4/Kelch_1/Kelch_4/
TrH2_TrispH2_005440-RA	chromosome_1_open_reading_frame_50	DUF2452/
TrH2_TrispH2_005441-RA	exocyst_complex_component_8	Vps51/Exo84_C/
TrH2_TrispH2_005442-RA	mitochondrial_ribosomal_protein_L47	MRP-L47/
TrH2_TrispH2_005443-RA	phosphodiesterase_6D	GMP_PDE_delta/
TrH2_TrispH2_005444-RA	protein_tyrosine_phosphatase_non_receptor_type_11	SH2/SH2/Y_phosphatase/TFIID_NTD2/WD40/WD40/WD40/WD40/WD40/
TrH2_TrispH2_005445-RA	adhesion_G_protein_coupled_receptor_G2	7tm_2/
TrH2_TrispH2_005446-RA	adhesion_G_protein_coupled_receptor_G6	
TrH2_TrispH2_005447-RA	trehalase	Trehalase/
TrH2_TrispH2_005448-RA	sucrase_isomaltase	Trefoil/NtCtMGAM_N/Gal_mutarotas_2/Glyco_hydro_31/
TrH2_TrispH2_005449-RA	TATA_box_binding_protein_associated_factor_10	TFIID_30kDa/
TrH2_TrispH2_005450-RA	forkhead_associated_phosphopeptide_binding_domain_1	FHA/
TrH2_TrispH2_005451-RA	F_box_protein_31	F-box-like/DUF3506/
TrH2_TrispH2_005452-RA	arrestin_domain_containing_2	Arrestin_N/Arrestin_C/
TrH2_TrispH2_005453-RA	arrestin_domain_containing_4	Arrestin_N/Arrestin_C/
TrH2_TrispH2_005454-RA	formyl_peptide_receptor_3	7tm_1/
TrH2_TrispH2_005455-RA		
TrH2_TrispH2_005456-RA	relaxin_family_peptide_receptor_2	7tm_1/
TrH2_TrispH2_005457-RA		7tm_1/
TrH2_TrispH2_005458-RA		
TrH2_TrispH2_005459-RA	ATPase_phospholipid_transporting_8A1	PhoLip_ATPase_N/Cation_ATPase/PhoLip_ATPase_C/
TrH2_TrispH2_005460-RA		
TrH2_TrispH2_005461-RA	SAP30_like	zf-SAP30/SAP30_Sin3_bdg/
TrH2_TrispH2_005462-RA	WD_repeat_domain_49	EF-hand_8/WD40/WD40/
TrH2_TrispH2_005463-RA	THUMP_domain_containing_3	THUMP/UPF0020/
TrH2_TrispH2_005464-RA	pleiotropic_regulator_1	WD40/WD40/WD40/WD40/WD40/WD40/
TrH2_TrispH2_005465-RA		
TrH2_TrispH2_005466-RA		
TrH2_TrispH2_005467-RA	hyaluronan_mediated_motility_receptor	HMMR_N/HMMR_C/
TrH2_TrispH2_005468-RA	sodium_channel_and_clathrin_linker_1	CCCAP/
TrH2_TrispH2_005469-RA	neuronal_cell_adhesion_molecule	I-set/fn3/
TrH2_TrispH2_005470-RA	tryptophan_2_3_dioxygenase	Trp_dioxygenase/Trp_dioxygenase/
TrH2_TrispH2_005471-RA	metaxin_1	Tom37/GST_C_6/
TrH2_TrispH2_005472-RA	solute_carrier_family_25_member_15	Mito_carr/Mito_carr/Mito_carr/
TrH2_TrispH2_005473-RA	tachykinin_receptor_3	7tm_1/
TrH2_TrispH2_005474-RA	SET_domain_containing_7_histone_lysine_methyltransferase	MORN/MORN/MORN/SET/
TrH2_TrispH2_005475-RA	ADP_ribosylation_factor_interacting_protein_1	Arfaptin/
TrH2_TrispH2_005476-RA	translocase_of_inner_mitochondrial_membrane_8A	zf-Tim10_DDP/
TrH2_TrispH2_005477-RA	phosphorylase_kinase_regulatory_subunit_alpha_1	Glyco_hydro_15/
TrH2_TrispH2_005478-RA	Bardet_Biedl_syndrome_7	
TrH2_TrispH2_005479-RA	hydroxylysine_kinase	APH/
TrH2_TrispH2_005480-RA	hydroxylysine_kinase	APH/
TrH2_TrispH2_005481-RA	hydroxylysine_kinase	APH/
TrH2_TrispH2_005482-RA		
TrH2_TrispH2_005483-RA		
TrH2_TrispH2_005484-RA	hydroxylysine_kinase	APH/
TrH2_TrispH2_005485-RA		
TrH2_TrispH2_005486-RA	novel_transcript	zf-Tim10_DDP/
TrH2_TrispH2_005487-RA	NAD_P_dependent_steroid_dehydrogenase_like	3Beta_HSD/
TrH2_TrispH2_005488-RA	dynein_cytoplasmic_1_heavy_chain_1	DHC_N1/DHC_N2/AAA_6/Dynein_AAA_lid/AAA_7/AAA_8/MT/AAA_9/Dynein_heavy/AAA_lid_11/Dynein_C/
TrH2_TrispH2_005489-RA	DNA_polymerase_epsilon_4_accessory_subunit	CBFD_NFYB_HMF/
TrH2_TrispH2_005490-RA	glutamyl_tRNA_amidotransferase_subunit_B	GatB_N/GatB_Yqey/
TrH2_TrispH2_005491-RA	C2_domain_containing_3_centriole_elongation_regulator	C2/C2/C2/
TrH2_TrispH2_005492-RA	neuropeptide_FF_receptor_2	7tm_1/
TrH2_TrispH2_005493-RA	neuropeptide_FF_receptor_1	7tm_1/
TrH2_TrispH2_005494-RA	hemicentin_1	IgGFc_binding/Ig_3/I-set/I-set/Ig_3/Ig_3/Ig_3/Ig_3/I-set/Ig_3/I-set/Ig_3/Ig_3/Ig_3/Ig_3/I-set/fn3/fn3/fn3/I-set/GAIN/GPS/7tm_2/
TrH2_TrispH2_005495-RA		7tm_1/
TrH2_TrispH2_005496-RA	opsin_4	7tm_1/
TrH2_TrispH2_005497-RA		
TrH2_TrispH2_005498-RA		7tm_1/
TrH2_TrispH2_005499-RA		7tm_1/
TrH2_TrispH2_005500-RA		7tm_1/
TrH2_TrispH2_005501-RA	CYP3A7_CYP3A51P_readthrough	p450/
TrH2_TrispH2_005502-RA	FRY_like_transcription_coactivator	MOR2-PAG1_N/MOR2-PAG1_mid/MOR2-PAG1_mid/MOR2-PAG1_mid/MOR2-PAG1_mid/MOR2-PAG1_C/
TrH2_TrispH2_005503-RA	alkB_homolog_1_histone_H2A_dioxygenase	2OG-FeII_Oxy_2/
TrH2_TrispH2_005504-RA	translocase_of_inner_mitochondrial_membrane_8A	zf-Tim10_DDP/
TrH2_TrispH2_005505-RA	iodothyronine_deiodinase_1	T4_deiodinase/
TrH2_TrispH2_005506-RA	tryptophan_2_3_dioxygenase	Trp_dioxygenase/Trp_dioxygenase/
TrH2_TrispH2_005507-RA	tryptophan_2_3_dioxygenase	Trp_dioxygenase/
TrH2_TrispH2_005508-RA	centrin_2	EF-hand_7/EF-hand_7/
TrH2_TrispH2_005509-RA	PDS5_cohesin_associated_factor_B	
TrH2_TrispH2_005510-RA	exocyst_complex_component_1	Sec3_C/
TrH2_TrispH2_005511-RA		Ank/Ank_2/
TrH2_TrispH2_005512-RA	cyclin_A1	Cyclin_N/Cyclin_C/
TrH2_TrispH2_005513-RA	cytochrome_P450_family_3_subfamily_A_member_5	p450/
TrH2_TrispH2_005514-RA	cytochrome_P450_family_3_subfamily_A_member_5	p450/
TrH2_TrispH2_005515-RA	tubulin_tyrosine_ligase_like_1	EF-hand_9/KASH_CCD/MRVI1/TTL/
TrH2_TrispH2_005516-RA	proteasome_26S_subunit_non_ATPase_13	
TrH2_TrispH2_005517-RA		
TrH2_TrispH2_005518-RA	outer_dense_fiber_of_sperm_tails_3_like_2	SHIPPO-rpt/SHIPPO-rpt/SHIPPO-rpt/
TrH2_TrispH2_005519-RA	actin_related_protein_6	Actin/
TrH2_TrispH2_005520-RA	thioredoxin	Thioredoxin/
TrH2_TrispH2_005521-RA	cytosolic_iron_sulfur_assembly_component_3	Fe_hyd_lg_C/Fe_hyd_SSU/
TrH2_TrispH2_005522-RA		WH2/
TrH2_TrispH2_005523-RA	PWP1_homolog_endonuclein	WD40/WD40/WD40/
TrH2_TrispH2_005524-RA	autophagy_related_16_like_1	WD40/WD40/ANAPC4_WD40/
TrH2_TrispH2_005525-RA	toll_interacting_protein	C2/CUE/
TrH2_TrispH2_005526-RA	phenylalanine_hydroxylase	ACT/Biopterin_H/
TrH2_TrispH2_005527-RA	DExD_box_helicase_52	DEAD/Helicase_C/
TrH2_TrispH2_005528-RA	pre_mRNA_processing_factor_38B	PRP38/
TrH2_TrispH2_005529-RA	BCL2_antagonist_killer_1	Bcl-2/
TrH2_TrispH2_005530-RA	transmembrane_protein_19	DUF92/
TrH2_TrispH2_005531-RA		
TrH2_TrispH2_005532-RA	BCL2_like_1	Bcl-2/
TrH2_TrispH2_005533-RA	cell_division_cycle_37_HSP90_cochaperone	CDC37_N/CDC37_M/CDC37_C/
TrH2_TrispH2_005534-RA	CCR4_NOT_transcription_complex_subunit_2	NOT2_3_5/
TrH2_TrispH2_005535-RA	RAB21_member_RAS_oncogene_family	Ras/
TrH2_TrispH2_005536-RA	ADP_ribosylation_factor_GTPase_activating_protein_3	ArfGap/
TrH2_TrispH2_005537-RA	proteasome_20S_subunit_alpha_1	Proteasome_A_N/Proteasome/
TrH2_TrispH2_005538-RA		Sel1/Sel1/Sel1/Sel1/Sel1/Sel1/
TrH2_TrispH2_005539-RA		DUF4207/
TrH2_TrispH2_005540-RA		MANEC/
TrH2_TrispH2_005541-RA	RAB3A_interacting_protein_like_1	Sec2p/
TrH2_TrispH2_005542-RA		
TrH2_TrispH2_005543-RA	chaperonin_containing_TCP1_subunit_2	Cpn60_TCP1/
TrH2_TrispH2_005544-RA	zinc_finger_protein_593	zf-C2H2_jaz/
TrH2_TrispH2_005545-RA	diacylglycerol_kinase_iota	C1_1/DAGK_cat/DAGK_acc/Ank_2/
TrH2_TrispH2_005546-RA		
TrH2_TrispH2_005547-RA		LRR_6/LRR_6/LRR_6/
TrH2_TrispH2_005548-RA	tumor_susceptibility_101	UEV/
TrH2_TrispH2_005549-RA	TBC1_domain_family_member_15	PH_RBD/RabGAP-TBC/
TrH2_TrispH2_005550-RA	serine_protease_1	Trypsin/
TrH2_TrispH2_005551-RA	pre_mRNA_processing_factor_40_homolog_A	WW/WW/FF/FF/FF/
TrH2_TrispH2_005552-RA	DENN_domain_containing_5B	uDENN/DENN/dDENN/RUN/PLAT/RUN/
TrH2_TrispH2_005553-RA		
TrH2_TrispH2_005554-RA	RNA_binding_motif_protein_28	RRM_1/RRM_1/RRM_1/
TrH2_TrispH2_005555-RA	zinc_finger_C3H1_type_containing	zf-C3H1/
TrH2_TrispH2_005556-RA	spondin_1	Reeler/Spond_N/TSP1_spondin/TSP_1/TSP_1/TSP_1/TSP1_spondin/
TrH2_TrispH2_005557-RA	acyl_CoA_dehydrogenase_family_member_8	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
TrH2_TrispH2_005558-RA	transmembrane_serine_protease_5	Trypsin/
TrH2_TrispH2_005559-RA	inner_centromere_protein	INCENP_ARK-bind/
TrH2_TrispH2_005560-RA	transmembrane_protein_138	TMEM138/
TrH2_TrispH2_005561-RA	single_stranded_DNA_binding_protein_1	SSB/
TrH2_TrispH2_005562-RA		
TrH2_TrispH2_005563-RA		
TrH2_TrispH2_005564-RA	histidine_triad_nucleotide_binding_protein_2	HIT/
TrH2_TrispH2_005565-RA	heat_shock_protein_family_A_Hsp70_member_14	HSP70/
TrH2_TrispH2_005566-RA		LRR_8/
TrH2_TrispH2_005567-RA	luteinizing_hormone_choriogonadotropin_receptor	LRR_8/7tm_1/
TrH2_TrispH2_005568-RA	2_deoxynucleoside_5_phosphate_N_hydrolase_1	Nuc_deoxyrib_tr/
TrH2_TrispH2_005569-RA	apoptotic_peptidase_activating_factor_1	NB-ARC/APAF1_C/
TrH2_TrispH2_005570-RA	MOK_protein_kinase	Pkinase/
