HoiH23_g2.t1		
HoiH23_hyp_clust10028.t1	novel_protein	SRCR/
HoiH23_PlH23_006660-RA	glycerophosphodiester_phosphodiesterase_domain_containing_1	GDPD/GDPD/
HoiH23_PlH23_006661-RA	glycerophosphodiester_phosphodiesterase_domain_containing_1	GDPD/GDPD/
HoiH23_PlH23_006662-RA	aryl_hydrocarbon_receptor_nuclear_translocator_like	PAS_3/
HoiH23_PlH23_006663-RA	coenzyme_Q2_polyprenyltransferase	UbiA/
HoiH23_PlH23_006664-RA		PHP/
HoiH23_PlH23_006665-RA	prolactin_releasing_hormone_receptor	7tm_1/
HoiH23_PlH23_006666-RA		TPR_12/TPR_12/TPR_10/TPR_12/TPR_12/TPR_12/TPR_12/
HoiH23_PlH23_006667-RA	pirin	Pirin/Pirin_C/
HoiH23_PlH23_006668-RA	deleted_in_malignant_brain_tumors_1	SRCR/SRCR/SRCR/SRCR/
HoiH23_PlH23_006669-RA		
HoiH23_PlH23_006670-RA		
HoiH23_PlH23_006671-RA	mitofusin_1	Dynamin_N/
HoiH23_PlH23_006672-RA	tubulin_epsilon_and_delta_complex_1	DUF4509/
HoiH23_PlH23_006673-RA	isoleucyl_tRNA_synthetase_2_mitochondrial	tRNA-synt_1/Anticodon_1/
HoiH23_PlH23_006674-RA	small_nuclear_ribonucleoprotein_polypeptide_F	LSM/
HoiH23_PlH23_006675-RA	N_alpha_acetyltransferase_40_NatD_catalytic_subunit	Acetyltransf_1/
HoiH23_PlH23_006676-RA	adenylosuccinate_synthase_1	Adenylsucc_synt/Adenylsucc_synt/
HoiH23_PlH23_006677-RA		
HoiH23_PlH23_006678-RA		Adenylsucc_synt/
HoiH23_PlH23_006679-RA		
HoiH23_PlH23_006680-RA		
HoiH23_PlH23_006681-RA		
HoiH23_PlH23_006682-RA		
HoiH23_PlH23_006683-RA		
HoiH23_PlH23_006684-RA	WD_repeat_domain_25	WD40/WD40/WD40/
HoiH23_PlH23_006685-RA	microtubule_affinity_regulating_kinase_3	Pkinase/KA1/
HoiH23_PlH23_006686-RA	axin_interactor_dorsalization_associated	Aida_C2/
HoiH23_PlH23_006687-RA		
HoiH23_PlH23_006688-RA	RNA_transcription_translation_and_transport_factor	RLL/
HoiH23_PlH23_006689-RA	LDL_receptor_related_protein_2	NIDO/EGF_3/EGF_CA/EGF_CA/hEGF/EGF_CA/EGF_CA/EGF_3/hEGF/Ldl_recept_b/Ldl_recept_b/
HoiH23_PlH23_006690-RA		
HoiH23_PlH23_006691-RA		
HoiH23_PlH23_006692-RA		
HoiH23_PlH23_006693-RA		
HoiH23_PlH23_006694-RA		
HoiH23_PlH23_006695-RA	tau_tubulin_kinase_1	Pkinase/
HoiH23_PlH23_006696-RA	G_protein_coupled_receptor_137	
HoiH23_PlH23_006697-RA	endoplasmic_reticulum_oxidoreductase_1_beta	ERO1/
HoiH23_PlH23_006698-RA	ring_finger_protein_141	zf-C3HC4_3/
HoiH23_PlH23_006699-RA	cytochrome_c_oxidase_assembly_factor_8	DUF2315/
HoiH23_PlH23_006700-RA	nucleoporin_133	Nucleoporin_N/Nucleoporin_C/
HoiH23_PlH23_006701-RA	ryanodine_receptor_2	Ins145_P3_rec/MIR/RYDR_ITPR/SPRY/RyR/RyR/SPRY/SPRY/RYDR_ITPR/RyR/RyR/RIH_assoc/EF-hand_7/RR_TM4-6/Ion_trans/
HoiH23_PlH23_006702-RA	glyoxylate_and_hydroxypyruvate_reductase	2-Hacid_dh/2-Hacid_dh_C/
HoiH23_PlH23_006703-RA		p31comet/
HoiH23_PlH23_006704-RA	N_alpha_acetyltransferase_30_NatC_catalytic_subunit	Acetyltransf_1/
HoiH23_PlH23_006705-RA	acyl_CoA_dehydrogenase_short_branched_chain	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
HoiH23_PlH23_006706-RA	acyl_CoA_dehydrogenase_short_branched_chain	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
HoiH23_PlH23_006707-RA	acyl_CoA_dehydrogenase_short_branched_chain	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
HoiH23_PlH23_006708-RA	lipoprotein_a	MAM/Kringle/SRCR/
HoiH23_PlH23_006709-RA	acyl_CoA_dehydrogenase_short_branched_chain	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
HoiH23_PlH23_006710-RA	glyoxylate_and_hydroxypyruvate_reductase	2-Hacid_dh/2-Hacid_dh_C/
HoiH23_PlH23_006711-RA		
HoiH23_PlH23_006712-RA	plasminogen	Kringle/
HoiH23_PlH23_006713-RA	neuropeptide_FF_receptor_2	7tm_1/
HoiH23_PlH23_006714-RA	ribonuclease_T2	Ribonuclease_T2/
HoiH23_PlH23_006715-RA	poly_A_binding_protein_cytoplasmic_4_like	RRM_1/RRM_1/
HoiH23_PlH23_006716-RA		zf-C2H2/zf-C2H2/
HoiH23_PlH23_006717-RA	epoxide_hydrolase_2	Abhydrolase_1/
HoiH23_PlH23_006718-RA	epoxide_hydrolase_2	HAD_2/Abhydrolase_1/
HoiH23_PlH23_006719-RA	cell_wall_biogenesis_43_C_terminal_homolog	
HoiH23_PlH23_006720-RA	stromal_interaction_molecule_2	SAM_1/SOAR/
HoiH23_PlH23_006721-RA	stromal_interaction_molecule_1	
HoiH23_PlH23_006722-RA	UTP14A_small_subunit_processome_component	Utp14/Utp14/
HoiH23_PlH23_006723-RA	tubulin_tyrosine_ligase_like_2	TTL/
HoiH23_PlH23_006724-RA	SUMO_specific_peptidase_7	Peptidase_C48/
HoiH23_PlH23_006725-RA	malic_enzyme_3	malic/Malic_M/
HoiH23_PlH23_006726-RA	cytosolic_thiouridylase_subunit_1	ATP_bind_3/zn-ribbon_14/
HoiH23_PlH23_006727-RA	protein_kinase_cAMP_dependent_type_I_regulatory_subunit_beta	cNMP_binding/
HoiH23_PlH23_006728-RA	coiled_coil_domain_containing_22	DUF812/
HoiH23_PlH23_006729-RA	nucleoporin_58	Nucleoporin_FG2/
HoiH23_PlH23_006730-RA	family_with_sequence_similarity_114_member_A2	DUF719/
HoiH23_PlH23_006731-RA	zinc_finger_matrin_type_2	zf-C2H2_jaz/
HoiH23_PlH23_006732-RA	ArfGAP_with_RhoGAP_domain_ankyrin_repeat_and_PH_domain_1	PH/ArfGap/PH/RhoGAP/
HoiH23_PlH23_006733-RA	phosphoribosyl_pyrophosphate_synthetase_associated_protein_2	Pribosyltran_N/Pribosyl_synth/
HoiH23_PlH23_006734-RA	antioxidant_1_copper_chaperone	HMA/
HoiH23_PlH23_006735-RA	neurexin_2	Laminin_G_2/DUF1647/
HoiH23_PlH23_006736-RA	transmembrane_protein_165	UPF0016/UPF0016/
HoiH23_PlH23_006737-RA	solute_carrier_family_46_member_3	MFS_1/
HoiH23_PlH23_006738-RA	ribosomal_protein_lateral_stalk_subunit_P2	Ribosomal_60s/
HoiH23_PlH23_006739-RA	neuropeptide_FF_receptor_1	7tm_1/
HoiH23_PlH23_006740-RA	bone_morphogenetic_protein_receptor_type_1A	Activin_recp/TGF_beta_GS/Pkinase_Tyr/
HoiH23_PlH23_006741-RA	HSPA_Hsp70_binding_protein_1	
HoiH23_PlH23_006742-RA	cathepsin_C	CathepsinC_exc/Peptidase_C1/
HoiH23_PlH23_006743-RA	beta_1_3_galactosyltransferase_5	Galactosyl_T/
HoiH23_PlH23_006744-RA	RAD54_homolog_B	SNF2_N/Helicase_C/
HoiH23_PlH23_006745-RA	DEP_domain_containing_5_GATOR1_subcomplex_subunit	IML1/
HoiH23_PlH23_006746-RA	acyl_CoA_synthetase_family_member_2	AMP-binding/AMP-binding_C/
HoiH23_PlH23_006747-RA	adenosine_kinase	PfkB/
HoiH23_PlH23_006748-RA		
HoiH23_PlH23_006749-RA	acyl_CoA_synthetase_family_member_2	AMP-binding/AMP-binding_C/
HoiH23_PlH23_006750-RA	acyl_CoA_synthetase_family_member_2	AMP-binding/AMP-binding_C/
HoiH23_PlH23_006751-RA		
HoiH23_PlH23_006752-RA	transmembrane_and_coiled_coil_domains_6	Arm/
HoiH23_PlH23_006753-RA	transmembrane_serine_protease_5	Trypsin/
HoiH23_PlH23_006754-RA	transmembrane_serine_protease_9	Trypsin/Trypsin/
HoiH23_PlH23_006755-RA		
HoiH23_PlH23_006756-RA	serine_protease_2	Trypsin/
HoiH23_PlH23_006757-RA		
HoiH23_PlH23_006758-RA	GCN1_activator_of_EIF2AK4	
HoiH23_PlH23_006759-RA	citron_rho_interacting_serine_threonine_kinase	Pkinase/PH/CNH/
HoiH23_PlH23_006760-RA		
HoiH23_PlH23_006761-RA	C_X_C_motif_chemokine_receptor_1	7tm_1/
HoiH23_PlH23_006762-RA		7tm_1/
HoiH23_PlH23_006763-RA		7tm_1/
HoiH23_PlH23_006764-RA	cytochrome_P450_family_3_subfamily_A_member_5	p450/
HoiH23_PlH23_006765-RA	FRY_like_transcription_coactivator	MOR2-PAG1_N/MOR2-PAG1_mid/MOR2-PAG1_mid/MOR2-PAG1_mid/MOR2-PAG1_C/
HoiH23_PlH23_006766-RA	DS_cell_adhesion_molecule	IgGFc_binding/Ig_3/I-set/I-set/I-set/I-set/Ig_3/Ig_3/Ig_3/fn3/fn3/fn3/Ig_3/GAIN/7tm_2/
HoiH23_PlH23_006767-RA	alkB_homolog_1_histone_H2A_dioxygenase	2OG-FeII_Oxy_2/
HoiH23_PlH23_006768-RA	translocase_of_inner_mitochondrial_membrane_8_homolog_B	zf-Tim10_DDP/
HoiH23_PlH23_006769-RA	tryptophan_2_3_dioxygenase	Trp_dioxygenase/
HoiH23_PlH23_006770-RA	tryptophan_2_3_dioxygenase	Trp_dioxygenase/
HoiH23_PlH23_006771-RA	centrin_2	EF-hand_7/EF-hand_7/
HoiH23_PlH23_006772-RA	PDS5_cohesin_associated_factor_B	
HoiH23_PlH23_006773-RA	exocyst_complex_component_1	Sec3-PIP2_bind/Sec3_C/Sec3_C/
HoiH23_PlH23_006774-RA		Ank/Ank_5/
HoiH23_PlH23_006775-RA	cyclin_A1	Cyclin_N/Cyclin_C/
HoiH23_PlH23_006776-RA	nucleolin	RRM_1/RRM_1/
HoiH23_PlH23_006777-RA	NBL1_DAN_family_BMP_antagonist	DAN/
HoiH23_PlH23_006778-RA		
HoiH23_PlH23_006779-RA	phosphoinositide_3_kinase_regulatory_subunit_4	Pkinase/WD40/
HoiH23_PlH23_006780-RA	DnaJ_heat_shock_protein_family_Hsp40_member_C4	DnaJ/
HoiH23_PlH23_006781-RA	sirtuin_2	SIR2/
HoiH23_PlH23_006782-RA	CDK5_regulatory_subunit_associated_protein_1_like_1	UPF0004/Radical_SAM/TRAM/
HoiH23_PlH23_006783-RA	protein_kinase_C_iota	PB1/C1_1/Pkinase/
HoiH23_PlH23_006784-RA	SH3_and_multiple_ankyrin_repeat_domains_2	Ank_2/Ank_2/SAM_1/
HoiH23_PlH23_006785-RA	splicing_factor_3b_subunit_4	RRM_1/RRM_1/
HoiH23_PlH23_006786-RA	peptidylprolyl_isomerase_H	Pro_isomerase/
HoiH23_PlH23_006787-RA	armadillo_repeat_containing_9	
HoiH23_PlH23_006788-RA		
HoiH23_PlH23_006789-RA	mitochondrial_contact_site_and_cristae_organizing_system_subunit_10	DUF543/
HoiH23_PlH23_006790-RA	heparan_sulfate_proteoglycan_2	Laminin_EGF/EGF/
HoiH23_PlH23_006791-RA	tolloid_like_1	EGF/EGF/EGF/CUB/CUB/EGF/hEGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/hEGF/EGF/hEGF/EGF/EGF/EGF/EGF/EGF/
HoiH23_PlH23_006792-RA		
HoiH23_PlH23_006793-RA	versican	EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/
HoiH23_PlH23_006794-RA	coiled_coil_domain_containing_171	
HoiH23_PlH23_006795-RA		ResIII/Helicase_C/
HoiH23_PlH23_006796-RA	NOP10_ribonucleoprotein	Nop10p/
HoiH23_PlH23_006797-RA	adhesion_G_protein_coupled_receptor_L3	7tm_2/
HoiH23_PlH23_006798-RA	adhesion_G_protein_coupled_receptor_L3	7tm_2/7tm_2/7tm_2/
HoiH23_PlH23_006799-RA	galanin_receptor_2	7tm_1/
HoiH23_PlH23_006800-RA	galanin_receptor_2	7tm_1/
HoiH23_PlH23_006801-RA	adhesion_G_protein_coupled_receptor_D1	7tm_2/
HoiH23_PlH23_006802-RA	RNA_polymerase_III_subunit_A	RNA_pol_Rpb1_1/RNA_pol_Rpb1_2/RNA_pol_Rpb1_3/RNA_pol_Rpb1_4/RNA_pol_Rpb1_5/
HoiH23_PlH23_006803-RA	tripartite_motif_containing_71	zf-RING_UBOX/zf-B_box/Filamin/DUF5128/NHL/NHL/NHL/
HoiH23_PlH23_006804-RA	protein_phosphatase_3_catalytic_subunit_alpha	Metallophos/
HoiH23_PlH23_006805-RA	lysine_acetyltransferase_8	Tudor-knot/zf-MYST/MOZ_SAS/
HoiH23_PlH23_006806-RA	neuropeptide_FF_receptor_2	7tm_1/
HoiH23_PlH23_006807-RA	bolA_family_member_1	BolA/
HoiH23_PlH23_006808-RA		
HoiH23_PlH23_006809-RA	DNA_polymerase_beta	HHH_8/DNA_pol_lambd_f/DNA_pol_B_palm/DNA_pol_B_thumb/
HoiH23_PlH23_006810-RA	ribosomal_oxygenase_1	Cupin_4/
HoiH23_PlH23_006811-RA	WD_repeat_domain_27	WD40/WD40/WD40/WD40/
HoiH23_PlH23_006812-RA	ribosomal_oxygenase_1	Cupin_4/
HoiH23_PlH23_006813-RA	multiple_coagulation_factor_deficiency_2_ER_cargo_receptor_complex_subunit	EF-hand_7/
HoiH23_PlH23_006814-RA	multiple_coagulation_factor_deficiency_2_ER_cargo_receptor_complex_subunit	EF-hand_7/
HoiH23_PlH23_006815-RA	amidohydrolase_domain_containing_1	Amidohydro_1/
HoiH23_PlH23_006816-RA		Glyco_hydro_63/
HoiH23_PlH23_006817-RA	novel_transcript	HSA/SNF2_N/Helicase_C/
HoiH23_PlH23_006818-RA	nucleolar_complex_associated_4_homolog	CBF/
HoiH23_PlH23_006819-RA		
HoiH23_PlH23_006820-RA		
HoiH23_PlH23_006821-RA	RIO_kinase_2	Rio2_N/RIO1/
HoiH23_PlH23_006822-RA		
HoiH23_PlH23_006823-RA	replication_protein_A1	Rep-A_N/tRNA_anti-codon/REPA_OB_2/Rep_fac-A_C/
HoiH23_PlH23_006824-RA	solute_carrier_family_4_member_1_adaptor_protein	FHA/dsrm/
HoiH23_PlH23_006825-RA	glutaredoxin_5	Glutaredoxin/
HoiH23_PlH23_006826-RA	ankyrin_repeat_domain_55	Ank_4/
HoiH23_PlH23_006827-RA	C9orf72_SMCR8_complex_subunit	C9orf72-like/
HoiH23_PlH23_006828-RA	general_transcription_factor_IIF_subunit_1	TFIIF_alpha/
HoiH23_PlH23_006829-RA	fibulin_7	EGF/EGF/EGF/hEGF/EGF/EGF/EGF/EGF/hEGF/hEGF/EGF/EGF/hEGF/EGF/EGF/EGF/EGF/EGF_CA/EGF/EGF/hEGF/hEGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/hEGF/EGF/EGF/hEGF/hEGF/EGF/hEGF/EGF/EGF/EGF/EGF/EGF/hEGF/hEGF/
HoiH23_PlH23_006830-RA		
HoiH23_PlH23_006831-RA	melatonin_receptor_1A	7tm_1/
HoiH23_PlH23_006832-RA	pyroglutamylated_RFamide_peptide_receptor	7tm_1/
HoiH23_PlH23_006833-RA		
HoiH23_PlH23_006834-RA	endothelin_converting_enzyme_1	Peptidase_M13_N/Peptidase_M13/
HoiH23_PlH23_006835-RA	EEF1AKMT4_ECE2_readthrough	Peptidase_M13_N/Peptidase_M13/
HoiH23_PlH23_006836-RA	EEF1AKMT4_ECE2_readthrough	Peptidase_M13_N/Peptidase_M13/
HoiH23_PlH23_006837-RA	endothelin_converting_enzyme_1	Peptidase_M13_N/Peptidase_M13/
HoiH23_PlH23_006838-RA	eukaryotic_translation_initiation_factor_5A	eIF-5a/
HoiH23_PlH23_006839-RA	EF_hand_domain_family_member_D2	EF-hand_7/
HoiH23_PlH23_006840-RA	Y_box_binding_protein_3	CSD/
HoiH23_PlH23_006841-RA	spen_family_transcriptional_repressor	RRM_1/RRM_1/RRM_1/SPOC/
HoiH23_PlH23_006842-RA	leucine_zipper_and_CTNNBIP1_domain_containing	ICAT/
HoiH23_PlH23_006843-RA	melatonin_receptor_1A	7tm_1/
HoiH23_PlH23_006844-RA		7tm_1/
HoiH23_PlH23_006845-RA	C_C_motif_chemokine_receptor_8	7tm_1/
HoiH23_PlH23_006846-RA		
HoiH23_PlH23_006847-RA		
HoiH23_PlH23_006848-RA	chloride_channel_accessory_1	CLCA/VWA/
HoiH23_PlH23_006849-RA	histone_deacetylase_1	Hist_deacetyl/
HoiH23_PlH23_006850-RA	cleavage_stimulation_factor_subunit_1	CSTF1_dimer/WD40/WD40/WD40/WD40/WD40/
HoiH23_PlH23_006851-RA	fucosyltransferase_5	Glyco_tran_10_N/Glyco_transf_10/
HoiH23_PlH23_006852-RA	fucosyltransferase_5	Glyco_tran_10_N/Glyco_transf_10/
HoiH23_PlH23_006853-RA	fucosyltransferase_5	Glyco_tran_10_N/Glyco_transf_10/
HoiH23_PlH23_006854-RA	nucleoporin_188	Nup188/Nup188/
HoiH23_PlH23_006855-RA		
HoiH23_PlH23_006856-RA	DNA_ligase_3	zf-PARP/DNA_ligase_A_N/DNA_ligase_A_M/DNA_ligase_A_C/zf-CCHH/LIG3_BRCT/
HoiH23_PlH23_006857-RA	kinesin_family_member_3B	Kinesin/
HoiH23_PlH23_006858-RA	dynein_axonemal_assembly_factor_1	LRR_9/
HoiH23_PlH23_006859-RA	dynein_axonemal_assembly_factor_3	DUF4470/DUF4471/
HoiH23_PlH23_006860-RA	glutamine_fructose_6_phosphate_transaminase_1	GATase_6/SIS/SIS/
HoiH23_PlH23_006861-RA	1_4_alpha_glucan_branching_enzyme_1	CBM_48/Alpha-amylase/Alpha-amylase_C/
HoiH23_PlH23_006862-RA	tRNA_methyltransferase_12_homolog	Met_10/
HoiH23_PlH23_006863-RA	transforming_growth_factor_beta_receptor_associated_protein_1	CNH/Vps39_1/Vps39_2/
HoiH23_PlH23_006864-RA	DnaJ_heat_shock_protein_family_Hsp40_member_C5_beta	DnaJ/
HoiH23_PlH23_006865-RA	PDZ_domain_containing_1	PDZ/PDZ/PDZ/PDZ/
HoiH23_PlH23_006866-RA	pleckstrin_homology_and_FYVE_domain_containing_2	FYVE/
HoiH23_PlH23_006867-RA	von_Hippel_Lindau_tumor_suppressor	VHL/
HoiH23_PlH23_006868-RA	sirtuin_3	SIR2/
HoiH23_PlH23_006869-RA	sirtuin_3	SIR2/
HoiH23_PlH23_006870-RA	von_Willebrand_factor_A_domain_containing_8	AAA_5/AAA_5/AAA_5/
HoiH23_PlH23_006871-RA	glutathione_disulfide_reductase	Pyr_redox_2/Pyr_redox_dim/
HoiH23_PlH23_006872-RA	dyskerin_pseudouridine_synthase_1	DKCLD/TruB_N/TruB_C_2/PUA/
HoiH23_PlH23_006873-RA	FERM_domain_containing_6	FERM_N/FERM_M/FERM_C/
HoiH23_PlH23_006874-RA	solute_carrier_family_3_member_1	Alpha-amylase/
HoiH23_PlH23_006875-RA	solute_carrier_family_3_member_1	Alpha-amylase/
HoiH23_PlH23_006877-RA	adenylate_kinase_7	AAA_18/Dpy-30/
HoiH23_PlH23_006878-RA	retinol_dehydrogenase_13	adh_short/adh_short/
HoiH23_PlH23_006879-RA	retinol_dehydrogenase_13	adh_short/
HoiH23_PlH23_006880-RA	adenylate_kinase_7	AAA_17/ADK/Dpy-30/
HoiH23_PlH23_006881-RA	RAB1A_member_RAS_oncogene_family	Ras/
HoiH23_PlH23_006882-RA	mediator_of_cell_motility_1	Memo/
HoiH23_PlH23_006883-RA	vesicle_amine_transport_1	ADH_N/ADH_zinc_N/
HoiH23_PlH23_006884-RA		
HoiH23_PlH23_006885-RA	striatin	Striatin/WD40/WD40/WD40/WD40/WD40/WD40/
HoiH23_PlH23_006886-RA	adaptor_related_protein_complex_4_subunit_sigma_1	Clat_adaptor_s/
HoiH23_PlH23_006887-RA	tyrosyl_DNA_phosphodiesterase_1	zf-CCHH/Tyr-DNA_phospho/
HoiH23_PlH23_006888-RA	B9_domain_containing_2	B9-C2/
HoiH23_PlH23_006889-RA	leucine_rich_repeat_protein_1	LRR_8/LRR_8/
HoiH23_PlH23_006890-RA	apoptosis_resistant_E3_ubiquitin_protein_ligase_1	HECT/
HoiH23_PlH23_006891-RA	ribosomal_protein_S6_kinase_like_1	MIT/Pkinase/
HoiH23_PlH23_006892-RA	ADP_ribosylation_factor_like_GTPase_2	Arf/
HoiH23_PlH23_006893-RA	hydroxyacyl_thioester_dehydratase_type_2	MaoC_dehydratas/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/EF-hand_7/
HoiH23_PlH23_006894-RA	aprataxin	DcpS_C/zf-C2HE/
HoiH23_PlH23_006895-RA	vasohibin_1	Vasohibin/
HoiH23_PlH23_006896-RA	angel_homolog_2	Exo_endo_phos/
HoiH23_PlH23_006897-RA	UTP4_small_subunit_processome_component	WD40/
HoiH23_PlH23_006898-RA		
HoiH23_PlH23_006899-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006900-RA	arrestin_domain_containing_2	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006901-RA		
HoiH23_PlH23_006902-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006903-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006904-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006905-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006906-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006907-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_N/Arrestin_C/
HoiH23_PlH23_006908-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006909-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/Arrestin_N/Arrestin_C/
HoiH23_PlH23_006910-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006911-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006912-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006913-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006914-RA		
HoiH23_PlH23_006915-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006916-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006917-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006918-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006919-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006920-RA		Arrestin_N/Arrestin_C/
HoiH23_PlH23_006921-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_N/Arrestin_C/
HoiH23_PlH23_006922-RA	arrestin_domain_containing_2	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006923-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006924-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006925-RA		
HoiH23_PlH23_006926-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
HoiH23_PlH23_006927-RA	cyclic_nucleotide_binding_domain_containing_2	cNMP_binding/
HoiH23_PlH23_006928-RA	ribosomal_protein_L31	Ribosomal_L31e/
HoiH23_PlH23_006929-RA	anaphase_promoting_complex_subunit_1	ANAPC1/APC1_C/
HoiH23_PlH23_006930-RA	eukaryotic_translation_elongation_factor_1_gamma	GST_N/GST_C/EF1G/
HoiH23_PlH23_006931-RA		
HoiH23_PlH23_006932-RA	valyl_tRNA_synthetase_1	tRNA-synt_1/Anticodon_1/Val_tRNA-synt_C/
HoiH23_PlH23_006933-RA		
HoiH23_PlH23_006934-RA	RNA_polymerase_II_subunit_I	RNA_POL_M_15KD/TFIIS_C/
HoiH23_PlH23_006935-RA	aarF_domain_containing_kinase_1	ABC1/
HoiH23_PlH23_006936-RA		Laminin_G_2/Laminin_G_2/
HoiH23_PlH23_006937-RA	Fos_proto_oncogene_AP_1_transcription_factor_subunit	bZIP_1/
HoiH23_PlH23_006938-RA	Fos_proto_oncogene_AP_1_transcription_factor_subunit	bZIP_1/
HoiH23_PlH23_006939-RA	troponin_C2_fast_skeletal_type	
HoiH23_PlH23_006940-RA	HECT_domain_E3_ubiquitin_protein_ligase_1	Ank_2/Sad1_UNC/MIB_HERC2/HECT/
HoiH23_PlH23_006941-RA	lysocardiolipin_acyltransferase_1	Acyltransferase/Acyltransf_C/
HoiH23_PlH23_006942-RA	CLPTM1_regulator_of_GABA_type_A_receptor_forward_trafficking	CLPTM1/
HoiH23_PlH23_006943-RA	NADH_ubiquinone_oxidoreductase_subunit_A10	dNK/
HoiH23_PlH23_006944-RA	pseudouridine_synthase_10	
HoiH23_PlH23_006945-RA		
HoiH23_PlH23_006946-RA		
HoiH23_PlH23_006947-RA	G_patch_domain_containing_11	G-patch/DUF4187/
HoiH23_PlH23_006948-RA	TatD_DNase_domain_containing_3	TatD_DNase/
HoiH23_PlH23_006949-RA	NADH_ubiquinone_oxidoreductase_core_subunit_V1	Complex1_51K/SLBB/NADH_4Fe-4S/
HoiH23_PlH23_006950-RA		
HoiH23_PlH23_006951-RA	serrate_RNA_effector_molecule	SERRATE_Ars2_N/ARS2/
HoiH23_PlH23_006952-RA		
HoiH23_PlH23_006953-RA	nuclear_speckle_splicing_regulatory_protein_1	DUF2040/
HoiH23_PlH23_006954-RA	PHD_finger_protein_12	PHD/PHF12_MRG_bd/PHD/
HoiH23_PlH23_006955-RA	developmentally_regulated_GTP_binding_protein_1	MMR_HSR1/MMR_HSR1_Xtn/TGS/
HoiH23_PlH23_006956-RA	chromodomain_helicase_DNA_binding_protein_1_like	SNF2_N/Helicase_C/LIG3_BRCT/
HoiH23_PlH23_006957-RA	serine_threonine_tyrosine_interacting_like_1	DSPc/
HoiH23_PlH23_006958-RA	nemo_like_kinase	Pkinase/
HoiH23_PlH23_006959-RA	sirtuin_4	SIR2/
HoiH23_PlH23_006960-RA	ubiquitin_recognition_factor_in_ER_associated_degradation_1	UFD1/
HoiH23_PlH23_006961-RA		
HoiH23_PlH23_006962-RA	G_protein_coupled_receptor_kinase_3	RGS/Pkinase/PH/
HoiH23_PlH23_006963-RA	peroxisomal_membrane_protein_2	Mpv17_PMP22/
HoiH23_PlH23_006964-RA	calcium_calmodulin_dependent_protein_kinase_kinase_2	Pkinase/
HoiH23_PlH23_006965-RA	huntingtin_interacting_protein_1	ANTH/I_LWEQ/
HoiH23_PlH23_006966-RA		Lectin_C/
HoiH23_PlH23_006967-RA	adhesion_G_protein_coupled_receptor_L3	GPS/7tm_2/Lectin_C/Lectin_C/Lectin_C/Lectin_C/Lectin_C/GPS/7tm_2/
HoiH23_PlH23_006968-RA	mannose_receptor_C_type_2	Lectin_C/Lectin_C/Lectin_C/Lectin_C/Lectin_C/
